,Series4_A549_Mock_1,Series4_A549_Mock_2,Series4_A549_IAV_1,Series4_A549_IAV_2,Series9_NHBE_Mock_1,Series9_NHBE_Mock_2,Series9_NHBE_Mock_3,Series9_NHBE_Mock_4,Series9_NHBE_IAV_1,Series9_NHBE_IAV_2,Series9_NHBE_IAV_3,Series9_NHBE_IAV_4
DDX28,65,116,65,34,56,61,105,161,297,68,66,29
NFATC3,176,388,369,90,158,146,160,287,717,189,186,106
ESRP2,0,3,4,0,523,586,734,1360,2500,559,565,301
PLA2G15,62,116,32,24,95,82,122,241,551,131,120,62
SLC7A6,270,505,472,110,268,245,309,607,1859,439,437,232
SLC7A6OS,25,60,50,12,32,33,66,101,175,53,52,30
PRMT7,142,239,190,60,144,137,154,251,508,100,157,65
SMPD3,7,13,4,3,5,2,9,3,7,3,7,7
ZFP90,156,278,305,52,90,100,107,220,389,88,128,55
CDH3,1,2,4,2,4873,4872,4559,8204,20202,5167,4364,2139
CDH1,277,541,433,87,3213,3303,3243,7028,17674,3849,5219,2977
TANGO6,130,226,172,40,94,92,140,299,777,199,131,75
HAS3,170,315,280,84,682,654,830,1671,3697,904,903,429
CHTF8,496,871,206,94,409,358,524,938,2861,633,619,364
SNTB2,226,380,359,102,103,116,107,288,705,142,152,82
VPS4A,366,695,372,105,680,657,780,1484,3809,911,841,484
COG8,125,212,135,61,98,117,122,245,381,86,109,43
PDF,37,61,3,4,8,10,24,44,28,6,10,3
NIP7,175,406,399,93,276,303,523,1002,2038,437,441,237
TMED6,0,5,0,0,5,6,5,19,27,7,3,3
TERF2,162,330,381,90,118,110,121,265,675,113,145,69
CYB5B,1318,2621,5124,968,743,752,853,1668,3756,823,755,390
MIR1538,0,0,0,0,0,0,0,0,0,0,0,0
NFAT5,291,599,709,183,158,161,157,463,1280,235,318,232
NQO1,8815,18902,14684,4966,763,864,1081,1962,5492,1126,592,302
NOB1,445,952,1014,213,360,366,513,976,2164,530,424,242
WWP2,169,366,296,74,186,209,205,403,1311,294,210,95
MIR140,0,0,0,0,0,0,0,0,0,0,0,0
CLEC18A,0,0,0,0,0,2,2,4,6,1,1,0
MIR1972-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR1972-2,0,0,0,0,0,0,0,0,0,0,0,0
PDPR,327,560,497,119,216,199,169,409,1111,300,328,120
CLEC18C,0,0,0,0,0,0,1,1,0,0,0,1
EXOSC6,104,210,82,38,110,80,167,355,432,108,90,50
AARS,1299,2380,2237,540,550,555,468,980,2852,779,476,241
DDX19B,77,160,171,37,75,107,103,202,425,100,103,41
LOC100506083,2,16,13,1,2,0,5,8,3,4,2,1
DDX19A,234,405,358,123,301,293,315,592,1315,295,365,196
ST3GAL2,168,338,93,43,60,42,60,100,249,54,64,23
FUK,54,80,22,19,69,87,115,197,367,78,103,43
COG4,361,554,442,148,264,281,337,565,1214,356,296,147
SF3B3,904,1768,1589,514,924,982,929,1928,4596,1173,1203,569
SNORD111B,0,0,0,0,0,0,0,0,0,0,0,0
SNORD111,0,1,0,0,0,0,0,0,0,0,0,0
IL34,5,5,7,1,1,1,4,2,0,1,2,0
MTSS1L,235,481,383,99,398,387,423,774,1275,295,551,282
VAC14,158,324,313,101,173,228,174,421,1067,235,258,110
HYDIN,1,1,4,0,2,1,0,5,36,6,2,0
CALB2,26,73,97,19,3,4,14,27,1,3,0,1
ZNF23,46,85,147,13,59,50,104,194,479,86,134,65
ZNF19,17,27,30,6,4,2,4,12,44,7,3,3
CHST4,0,2,2,0,6,8,9,8,21,5,8,5
TAT,1,3,4,0,0,0,0,0,8,0,6,3
MARVELD3,3,3,0,2,174,206,233,398,522,129,216,88
PHLPP2,123,233,242,50,63,70,66,146,546,117,101,52
SNORA70D,0,0,0,0,0,0,0,0,0,0,0,0
AP1G1,695,1348,1499,281,472,485,547,1249,3949,876,1070,482
SNORD71,0,0,0,0,0,0,0,0,4,0,0,0
ATXN1L,239,554,335,75,264,212,239,488,1946,470,504,245
ZNF821,20,28,54,23,29,23,22,57,79,22,20,20
IST1,521,1103,958,263,476,502,648,1298,3010,722,639,288
PKD1L3,0,2,3,0,0,2,1,1,14,5,4,2
DHODH,64,118,94,26,30,42,60,95,211,38,61,25
HP,0,0,0,0,1,0,0,0,0,0,0,0
HPR,0,0,0,0,0,0,0,0,0,0,0,0
TXNL4B,119,214,245,63,64,77,103,195,476,87,98,41
DHX38,388,725,684,172,452,436,464,962,2421,679,601,295
PMFBP1,0,2,6,1,0,0,1,0,1,0,5,2
